期刊名称	IF	JCR分区	Category	ISSN	eISSN	中科院分区
ESMO Open	8.3	Q1	ONCOLOGY(SCIE)	N/A	2059-7029	1
Esophagus	3.8	Q2	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	1612-9059	1612-9067	3
Essays in Biochemistry	5.7	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	0071-1365	1744-1358	2
EuroIntervention	9.5	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	1774-024X	1969-6213	1
EUROPACE	7.4	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	1099-5129	1532-2092	1
EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE	3.7	Q1	CLINICAL NEUROLOGY(SCIE);PSYCHIATRY(SCIE)	0940-1334	1433-8491	2
European Cardiology Review	3.6	Q2	CARDIAC & CARDIOVASCULAR SYSTEMS(ESCI)	1758-3756	1758-3756	3
EUROPEAN CHILD & ADOLESCENT PSYCHIATRY	4.9	Q1	PEDIATRICS(SCIE);PSYCHIATRY(SCIE, SSCI);PSYCHOLOGY, DEVELOPMENTAL(SSCI)	1018-8827	1435-165X	2
EUROPEAN EATING DISORDERS REVIEW	3.4	Q1	PSYCHIATRY(SSCI);PSYCHOLOGY, CLINICAL(SSCI)	1072-4133	1099-0968	2
EUROPEAN HEART JOURNAL	35.6	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	0195-668X	1522-9645	1
European Heart Journal-Acute Cardiovascular Care	4.6	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	2048-8726	2048-8734	2
European Heart Journal-Cardiovascular Imaging	6.6	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	2047-2404	2047-2412	1
European Heart Journal-Cardiovascular Pharmacotherapy	6.1	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	2055-6837	2055-6845	2
European Heart Journal-Quality of Care and Clinical Outcomes	4.6	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	2058-5225	2058-1742	2
European Heart Journal - Digital Health	4.4	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(ESCI)	N/A	2634-3916	3
European Journal of Ageing	3.5	Q1	GERONTOLOGY(SSCI)	1613-9372	1613-9380	2
EUROPEAN JOURNAL OF ANAESTHESIOLOGY	6.8	Q1	ANESTHESIOLOGY(SCIE)	0265-0215	1365-2346	2
EUROPEAN JOURNAL OF CANCER	7.1	Q1	ONCOLOGY(SCIE)	0959-8049	1879-0852	1
European Journal of Cardiovascular Nursing	3.9	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);NURSING(SCIE, SSCI)	1474-5151	1873-1953	3
EUROPEAN JOURNAL OF CELL BIOLOGY	4.3	Q2	CELL BIOLOGY(SCIE)	0171-9335	1618-1298	2
EUROPEAN JOURNAL OF CLINICAL INVESTIGATION	3.6	Q1	MEDICINE, GENERAL & INTERNAL(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	0014-2972	1365-2362	3
EUROPEAN JOURNAL OF CLINICAL NUTRITION	3.3	Q2	NUTRITION & DIETETICS(SCIE)	0954-3007	1476-5640	3
European Journal of Emergency Medicine	4.2	Q1	EMERGENCY MEDICINE(SCIE)	0969-9546	1473-5695	3
EUROPEAN JOURNAL OF ENDOCRINOLOGY	5.2	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	0804-4643	1479-683X	2
EUROPEAN JOURNAL OF HEART FAILURE	10.8	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	1388-9842	1879-0844	1
EUROPEAN JOURNAL OF HUMAN GENETICS	4.6	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);GENETICS & HEREDITY(SCIE)	1018-4813	1476-5438	2
EUROPEAN JOURNAL OF IMMUNOLOGY	3.7	Q2	IMMUNOLOGY(SCIE)	0014-2980	1521-4141	3
European Journal of Internal Medicine	6.1	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	0953-6205	1879-0828	2
EUROPEAN JOURNAL OF MEDICAL RESEARCH	3.4	Q2	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	0949-2321	2047-783X	3
EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY	5.9	Q1	CHEMISTRY, MEDICINAL(SCIE)	0223-5234	1768-3254	2
European Journal of Medicinal Chemistry Reports	4.1	Q2	CHEMISTRY, MEDICINAL(ESCI)	2772-4174	2772-4174	3
EUROPEAN JOURNAL OF NEUROLOGY	3.9	Q1	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	1351-5101	1468-1331	2
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING	7.6	Q1	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	1619-7070	1619-7089	1
EUROPEAN JOURNAL OF NUTRITION	4.3	Q1	NUTRITION & DIETETICS(SCIE)	1436-6207	1436-6215	2
EUROPEAN JOURNAL OF PAIN	3.4	Q1	ANESTHESIOLOGY(SCIE);CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	1090-3801	1532-2149	2
EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES	4.7	Q1	PHARMACOLOGY & PHARMACY(SCIE)	0928-0987	1879-0720	3
EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS	4.3	Q1	PHARMACOLOGY & PHARMACY(SCIE)	0939-6411	1873-3441	3
European Journal of Pharmacology	4.7	Q1	PHARMACOLOGY & PHARMACY(SCIE)	0014-2999	1879-0712	3
European Journal of Physical and Rehabilitation Medicine	3.4	Q1	REHABILITATION(SCIE)	1973-9087	1973-9095	3
European Journal of Preventive Cardiology	7.5	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	2047-4873	2047-4881	1
EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT	4.1	Q1	PSYCHOLOGY, APPLIED(SSCI)	1015-5759	2151-2426	3
European Journal of Psychotraumatology	4.1	Q1	PSYCHIATRY(SSCI);PSYCHOLOGY, CLINICAL(SSCI)	2000-8198	2000-8066	2
EUROPEAN JOURNAL OF RADIOLOGY	3.3	Q1	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	0720-048X	1872-7727	2
EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY	6.8	Q1	PERIPHERAL VASCULAR DISEASE(SCIE);SURGERY(SCIE)	1078-5884	1532-2165	1
EUROPEAN NEUROPSYCHOPHARMACOLOGY	6.7	Q1	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE);PHARMACOLOGY & PHARMACY(SCIE);PSYCHIATRY(SCIE)	0924-977X	1873-7862	2
EUROPEAN PSYCHIATRY	6.7	Q1	PSYCHIATRY(SCIE, SSCI)	0924-9338	1778-3585	2
EUROPEAN PSYCHOLOGIST	4.2	Q1	PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)	1016-9040	1878-531X	3
EUROPEAN RADIOLOGY	4.7	Q1	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	0938-7994	1432-1084	2
European Radiology Experimental	3.6	Q1	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(ESCI)	N/A	2509-9280	2
EUROPEAN RESPIRATORY JOURNAL	21	Q1	RESPIRATORY SYSTEM(SCIE)	0903-1936	1399-3003	1
European Respiratory Review	10.4	Q1	RESPIRATORY SYSTEM(SCIE)	0905-9180	1600-0617	1
European Stroke Journal	4.5	Q1	CLINICAL NEUROLOGY(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE)	2396-9873	2396-9881	3
European Thyroid Journal	4.3	Q2	ENDOCRINOLOGY & METABOLISM(SCIE)	2235-0640	2235-0802	3
EUROPEAN UROLOGY	25.2	Q1	UROLOGY & NEPHROLOGY(SCIE)	0302-2838	1873-7560	1
European Urology Focus	5.6	Q1	UROLOGY & NEPHROLOGY(SCIE)	N/A	2405-4569	2
European Urology Oncology	9.3	Q1	ONCOLOGY(SCIE);UROLOGY & NEPHROLOGY(SCIE)	N/A	2588-9311	1
European Urology Open Science	4.5	Q1	UROLOGY & NEPHROLOGY(SCIE)	2666-1691	2666-1683	2
Eurosurveillance	7.8	Q1	INFECTIOUS DISEASES(SCIE)	1025-496X	1560-7917	2
EvoDevo	3.6	Q1	DEVELOPMENTAL BIOLOGY(SCIE);EVOLUTIONARY BIOLOGY(SCIE)	N/A	2041-9139	2
Evolution Letters	3.7	Q1	EVOLUTIONARY BIOLOGY(SCIE)	N/A	2056-3744	1
EVOLUTIONARY ANTHROPOLOGY	3.1	Q1	ANTHROPOLOGY(SSCI)	1060-1538	1520-6505	1
Evolutionary Applications	3.2	Q2	EVOLUTIONARY BIOLOGY(SCIE)	1752-4571	1752-4571	2
EXCLI Journal	4.9	Q1	BIOLOGY(SCIE)	1611-2156	1611-2156	3
EXERCISE AND SPORT SCIENCES REVIEWS	4.7	Q1	PHYSIOLOGY(SCIE);SPORT SCIENCES(SCIE)	0091-6331	1538-3008	2
EXPERIMENTAL AND MOLECULAR MEDICINE	12.9	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	1226-3613	2092-6413	1
EXPERIMENTAL CELL RESEARCH	3.5	Q2	CELL BIOLOGY(SCIE);ONCOLOGY(SCIE)	0014-4827	1090-2422	3
EXPERIMENTAL DERMATOLOGY	3.1	Q2	DERMATOLOGY(SCIE)	0906-6705	1600-0625	3
Experimental Hematology & Oncology	13.5	Q1	HEMATOLOGY(SCIE);ONCOLOGY(SCIE)	N/A	2162-3619	2
EXPERIMENTAL NEUROLOGY	4.2	Q1	NEUROSCIENCES(SCIE)	0014-4886	1090-2430	2
EXPERT OPINION ON BIOLOGICAL THERAPY	4	Q2	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	1471-2598	1744-7682	3
Expert Opinion on Drug Delivery	5.4	Q1	PHARMACOLOGY & PHARMACY(SCIE)	1742-5247	1744-7593	2
Expert Opinion on Drug Discovery	4.9	Q1	PHARMACOLOGY & PHARMACY(SCIE)	1746-0441	1746-045X	2
Expert Opinion on Drug Metabolism & Toxicology	3.4	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE);TOXICOLOGY(SCIE)	1742-5255	1744-7607	3
Expert Opinion On Drug Safety	3.1	Q2	PHARMACOLOGY & PHARMACY(SCIE)	1474-0338	1744-764X	3
EXPERT OPINION ON INVESTIGATIONAL DRUGS	4.1	Q1	PHARMACOLOGY & PHARMACY(SCIE)	1354-3784	1744-7658	3
EXPERT OPINION ON THERAPEUTIC PATENTS	4.6	Q1	CHEMISTRY, MEDICINAL(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	1354-3776	1744-7674	2
EXPERT OPINION ON THERAPEUTIC TARGETS	4.4	Q1	PHARMACOLOGY & PHARMACY(SCIE)	1472-8222	1744-7631	2
Expert Review of Anti-Infective Therapy	3.8	Q1	INFECTIOUS DISEASES(SCIE);MICROBIOLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	1478-7210	1744-8336	3
Expert Review of Clinical Immunology	3.7	Q2	IMMUNOLOGY(SCIE)	1744-666X	1744-8409	3
EXPERT REVIEW OF MOLECULAR DIAGNOSTICS	3.6	Q1	PATHOLOGY(SCIE)	1473-7159	1744-8352	3
Expert Review of Neurotherapeutics	3.4	Q2	CLINICAL NEUROLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	1473-7175	1744-8360	3
Expert Review of Vaccines	4.8	Q2	IMMUNOLOGY(SCIE)	1476-0584	1744-8395	2
EXPERT REVIEWS IN MOLECULAR MEDICINE	5.5	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	1462-3994	1462-3994	3
EYE	3.2	Q1	OPHTHALMOLOGY(SCIE)	0950-222X	1476-5454	3
Eye and Vision	4	Q1	OPHTHALMOLOGY(SCIE)	N/A	2326-0254	2
Family Medicine and Community Health	4.3	Q1	PRIMARY HEALTH CARE(ESCI)	2305-6983	2009-8774	3
FASEB JOURNAL	4.2	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	0892-6638	1530-6860	2
FEBS Journal	4.2	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	1742-464X	1742-4658	2
FEMS MICROBIOLOGY ECOLOGY	3.2	Q2	MICROBIOLOGY(SCIE)	0168-6496	1574-6941	3
FEMS MICROBIOLOGY REVIEWS	12.3	Q1	MICROBIOLOGY(SCIE)	0168-6445	1574-6976	1
Fermentation-Basel	3.3	Q2	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	N/A	2311-5637	3
Fluids and Barriers of the CNS	6.2	Q1	NEUROSCIENCES(SCIE)	2045-8118	2045-8118	2
Forecasting	3.2	Q1	MULTIDISCIPLINARY SCIENCES(ESCI)	N/A	2571-9394	3
Forensic Science International-Genetics	3.1	Q1	GENETICS & HEREDITY(SCIE);MEDICINE, LEGAL(SCIE)	1872-4973	1878-0326	2
Foundations and Trends in Machine Learning	25.4	Q1	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI)	1935-8237	1935-8245	1
FREE RADICAL BIOLOGY AND MEDICINE	8.2	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);ENDOCRINOLOGY & METABOLISM(SCIE)	0891-5849	1873-4596	2
Frontiers in Allergy	3.1	Q2	ALLERGY(ESCI)	N/A	2673-6101	3
Frontiers in Cell and Developmental Biology	4.3	Q1	CELL BIOLOGY(SCIE);DEVELOPMENTAL BIOLOGY(SCIE)	2296-634X	2296-634X	2
Frontiers in Cellular and Infection Microbiology	4.8	Q1	IMMUNOLOGY(SCIE);MICROBIOLOGY(SCIE)	2235-2988	2235-2988	2
Frontiers in Cellular Neuroscience	4	Q2	NEUROSCIENCES(SCIE)	N/A	1662-5102	3
Frontiers in Chemistry	4.2	Q2	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	2296-2646	2296-2646	3
Frontiers in Endocrinology	4.6	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	1664-2392	1664-2392	3
Frontiers in Genome Editing	4.4	Q1	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(ESCI);GENETICS & HEREDITY(ESCI)	N/A	2673-3439	2
Frontiers in Immunology	5.9	Q1	IMMUNOLOGY(SCIE)	1664-3224	1664-3224	2
Frontiers in Microbiology	4.5	Q1	MICROBIOLOGY(SCIE)	N/A	1664-302X	2
Frontiers in Molecular Biosciences	4	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	N/A	2296-889X	3
Frontiers in Molecular Neuroscience	3.8	Q2	NEUROSCIENCES(SCIE)	1662-5099	1662-5099	3
FRONTIERS IN NEUROENDOCRINOLOGY	6.7	Q1	ENDOCRINOLOGY & METABOLISM(SCIE);NEUROSCIENCES(SCIE)	0091-3022	1095-6808	2
Frontiers in Neuroscience	3.2	Q2	NEUROSCIENCES(SCIE)	N/A	1662-453X	3
Frontiers in Nutrition	5.1	Q1	NUTRITION & DIETETICS(SCIE)	2296-861X	2296-861X	2
Frontiers in Oncology	3.3	Q2	ONCOLOGY(SCIE)	2234-943X	2234-943X	3
Frontiers in Pharmacology	4.8	Q1	PHARMACOLOGY & PHARMACY(SCIE)	N/A	1663-9812	3
Frontiers in Physiology	3.4	Q1	PHYSIOLOGY(SCIE)	N/A	1664-042X	3
Frontiers in Psychiatry	3.2	Q2	PSYCHIATRY(SCIE, SSCI)	1664-0640	1664-0640	3
Frontiers in Systems Neuroscience	3.5	Q2	NEUROSCIENCES(SCIE)	N/A	1662-5137	3
Frontiers of Medicine	3.5	Q2	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);ONCOLOGY(SCIE)	2095-0217	2095-0225	2
Function	3.8	Q1	CELL BIOLOGY(ESCI);PHYSIOLOGY(ESCI)	N/A	2633-8823	2
FUNCTIONAL & INTEGRATIVE GENOMICS	3.1	Q2	GENETICS & HEREDITY(SCIE)	1438-793X	1438-7948	2
Fundamental Research	6.3	Q1	MULTIDISCIPLINARY SCIENCES(ESCI)	2096-9457	2667-3258	2
Fungal Biology Reviews	4.6	Q1	MYCOLOGY(SCIE)	1749-4613	1878-0253	2
FUNGAL DIVERSITY	24.8	Q1	MYCOLOGY(SCIE)	1560-2745	1878-9129	1
Gastric Cancer	5.1	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE);ONCOLOGY(SCIE)	1436-3291	1436-3305	2
Gastroenterology	25.1	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	0016-5085	1528-0012	1
GASTROENTEROLOGY CLINICS OF NORTH AMERICA	3.9	Q2	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	0889-8553	1558-1942	3
Gastroenterology Report	4.2	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	2052-0034	2052-0034	3
GASTROINTESTINAL ENDOSCOPY	7.5	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	0016-5107	1097-6779	1
GENE THERAPY	4.5	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);GENETICS & HEREDITY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	0969-7128	1476-5462	3
GENERAL HOSPITAL PSYCHIATRY	3.7	Q1	PSYCHIATRY(SCIE, SSCI)	0163-8343	1873-7714	2
General Psychiatry	6.8	Q1	PSYCHIATRY(ESCI)	2096-5923	2517-729X	2
GENES & DEVELOPMENT	7.7	Q1	CELL BIOLOGY(SCIE);DEVELOPMENTAL BIOLOGY(SCIE);GENETICS & HEREDITY(SCIE)	0890-9369	1549-5477	1
Genes & Diseases	9.4	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);GENETICS & HEREDITY(SCIE)	2352-4820	2352-3042	2
GENES AND IMMUNITY	4.5	Q1	GENETICS & HEREDITY(SCIE);IMMUNOLOGY(SCIE)	1466-4879	1476-5470	3
Genes and Nutrition	4.9	Q1	GENETICS & HEREDITY(SCIE);NUTRITION & DIETETICS(SCIE)	1555-8932	1865-3499	3
GENETICS	5.1	Q1	GENETICS & HEREDITY(SCIE)	0016-6731	1943-2631	3
GENETICS IN MEDICINE	6.2	Q1	GENETICS & HEREDITY(SCIE)	1098-3600	1530-0366	1
GENOME BIOLOGY	9.4	Q1	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);GENETICS & HEREDITY(SCIE)	1474-760X	1474-760X	1
Genome Medicine	11.2	Q1	GENETICS & HEREDITY(SCIE)	1756-994X	1756-994X	1
GENOME RESEARCH	5.5	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);GENETICS & HEREDITY(SCIE)	1088-9051	1549-5469	1
GENOMICS PROTEOMICS & BIOINFORMATICS	7.9	Q1	GENETICS & HEREDITY(SCIE)	1672-0229	2210-3244	2
GERONTOLOGIST	3.2	Q1	GERONTOLOGY(SSCI)	0016-9013	1758-5341	2
GigaScience	3.9	Q1	MULTIDISCIPLINARY SCIENCES(SCIE)	2047-217X	2047-217X	2
GLIA	5.1	Q1	NEUROSCIENCES(SCIE)	0894-1491	1098-1136	2
Global Heart	3.1	Q2	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	2211-8160	2211-8179	3
GLYCOBIOLOGY	3.3	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	0959-6658	1460-2423	3
GREEN CHEMISTRY	9.2	Q1	CHEMISTRY, MULTIDISCIPLINARY(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)	1463-9262	1463-9270	1
Green Chemistry Letters and Reviews	5.1	Q2	CHEMISTRY, MULTIDISCIPLINARY(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)	1751-8253	1751-7192	2
Green Synthesis and Catalysis	6.3	Q1	CHEMISTRY, MULTIDISCIPLINARY(ESCI)	N/A	2666-5549	1
GUT	25.8	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	0017-5749	1468-3288	1
Gut and Liver	3.2	Q2	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	1976-2283	2005-1212	3
Gut Microbes	11	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE);MICROBIOLOGY(SCIE)	1949-0976	1949-0984	1
Gut Pathogens	4	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE);MICROBIOLOGY(SCIE)	1757-4749	1757-4749	3
HAEMATOLOGICA	7.9	Q1	HEMATOLOGY(SCIE)	0390-6078	1592-8721	1
Harm Reduction Journal	4	Q1	SUBSTANCE ABUSE(SSCI)	N/A	1477-7517	2
Head & Neck Pathology	4.1	Q1	PATHOLOGY(ESCI)	1936-055X	1936-0568	2
HEADACHE	4	Q1	CLINICAL NEUROLOGY(SCIE)	0017-8748	1526-4610	2
Health Information Science and Systems	3.4	Q2	MEDICAL INFORMATICS(SCIE)	2047-2501	2047-2501	2
HEALTH PSYCHOLOGY	3.2	Q1	PSYCHOLOGY(SCIE);PSYCHOLOGY, CLINICAL(SSCI)	0278-6133	1930-7810	2
Health Psychology Review	9.7	Q1	PSYCHOLOGY, CLINICAL(SSCI)	1743-7199	1743-7202	2
HEART	4.4	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	1355-6037	1468-201X	2
HEART FAILURE REVIEWS	4.2	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	1382-4147	1573-7322	2
HEART RHYTHM	5.7	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	1547-5271	1556-3871	1
HELICOBACTER	4.3	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE);MICROBIOLOGY(SCIE)	1083-4389	1523-5378	2
HemaSphere	14.6	Q1	HEMATOLOGY(SCIE)	N/A	2572-9241	3
Hepatobiliary & Pancreatic Diseases International	4.4	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	1499-3872	2352-9377	3
Hepatobiliary Surgery and Nutrition	7.8	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE);NUTRITION & DIETETICS(SCIE);SURGERY(SCIE)	2304-3881	2304-389X	1
HEPATOLOGY	15.8	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	0270-9139	1527-3350	1
Hepatology Communications	4.6	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	N/A	2471-254X	2
Hepatology International	6.1	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	1936-0533	1936-0541	1
HEPATOLOGY RESEARCH	3.4	Q2	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	1386-6346	1872-034X	3
HISTOPATHOLOGY	4.1	Q1	CELL BIOLOGY(SCIE);PATHOLOGY(SCIE)	0309-0167	1365-2559	2
HIV MEDICINE	3.2	Q2	INFECTIOUS DISEASES(SCIE)	N/A	1468-1293	3
HUMAN BRAIN MAPPING	3.3	Q1	NEUROIMAGING(SCIE);NEUROSCIENCES(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	1065-9471	1097-0193	2
HUMAN DEVELOPMENT	6	Q1	PSYCHOLOGY, DEVELOPMENTAL(SSCI)	0018-716X	1423-0054	1
HUMAN GENE THERAPY	4	Q1	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);GENETICS & HEREDITY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	1043-0342	1557-7422	3
HUMAN GENETICS	3.6	Q2	GENETICS & HEREDITY(SCIE)	0340-6717	1432-1203	2
Human Genetics and Genomics Advances	3.6	Q2	GENETICS & HEREDITY(ESCI)	2666-2477	2666-2477	2
Human Genomics	4.3	Q1	GENETICS & HEREDITY(SCIE)	1473-9542	1479-7364	2
HUMAN MOLECULAR GENETICS	3.2	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);GENETICS & HEREDITY(SCIE)	0964-6906	1460-2083	2
HUMAN MUTATION	3.7	Q2	GENETICS & HEREDITY(SCIE)	1059-7794	1098-1004	2
Human Vaccines & Immunotherapeutics	3.5	Q2	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);IMMUNOLOGY(SCIE)	2164-5515	2164-554X	3
HYPERTENSION	8.2	Q1	PERIPHERAL VASCULAR DISEASE(SCIE)	0194-911X	1524-4563	1
HYPERTENSION RESEARCH	4.6	Q1	PERIPHERAL VASCULAR DISEASE(SCIE)	0916-9636	1348-4214	3
IEEE Computational Intelligence Magazine	11.2	Q1	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)	1556-603X	1556-6048	2
IEEE Transactions on Emerging Topics in Computational Intelligence	6.5	Q1	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)	2471-285X	2471-285X	2
IEEE TRANSACTIONS ON NANOBIOSCIENCE	4.4	Q1	BIOCHEMICAL RESEARCH METHODS(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)	1536-1241	1558-2639	3
IEEE Transactions on Radiation and Plasma Medical Sciences	3.5	Q1	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(ESCI)	2469-7311	2469-7303	2
ILR Review	3.7	Q1	INDUSTRIAL RELATIONS & LABOR(SSCI)	0019-7939	2162-271X	3
IMA Fungus	6.2	Q1	MYCOLOGY(SCIE)	2210-6340	2210-6359	1
iMeta	33.2	Q1	MICROBIOLOGY(SCIE)	2770-5986	2770-596X	1
Immunity	26.3	Q1	IMMUNOLOGY(SCIE)	1074-7613	1097-4180	1
IMMUNOLOGICAL REVIEWS	8.3	Q1	IMMUNOLOGY(SCIE)	0105-2896	1600-065X	2
IMMUNOLOGY	5	Q1	IMMUNOLOGY(SCIE)	0019-2805	1365-2567	3
ImmunoTargets and Therapy	4.4	Q2	IMMUNOLOGY(ESCI)	N/A	2253-1556	2
INFECTION	3.6	Q2	INFECTIOUS DISEASES(SCIE)	0300-8126	1439-0973	3
INFECTIOUS DISEASE CLINICS OF NORTH AMERICA	4.1	Q1	IMMUNOLOGY(SCIE);INFECTIOUS DISEASES(SCIE)	0891-5520	1557-9824	2
Infectious Diseases and Therapy	5.3	Q1	INFECTIOUS DISEASES(SCIE)	2193-8229	2193-6382	2
Infectious Diseases of Poverty	5.5	Q1	INFECTIOUS DISEASES(SCIE);PARASITOLOGY(SCIE);TROPICAL MEDICINE(SCIE)	2095-5162	2049-9957	1
INFLAMMATION	5	Q1	CELL BIOLOGY(SCIE);IMMUNOLOGY(SCIE)	0360-3997	1573-2576	2
Inflammation and Regeneration	6.6	Q1	IMMUNOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	N/A	1880-8190	3
INFLAMMATION RESEARCH	5.4	Q1	CELL BIOLOGY(SCIE);IMMUNOLOGY(SCIE)	1023-3830	1420-908X	3
INFLAMMATORY BOWEL DISEASES	4.3	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	1078-0998	1536-4844	3
